Year,Total financial aid spending (in thousands),EndowPerStu,"Average scholarship, students with need",Average scholarship students with no need,"Average total financial aid package, students with need","Average total financial aid package, students with no need",Average debt at graduation,Percentage of graduates with debt,Percentage of fall headcount who are first-gen students ,% of Fall Headcount receiving Pell Grants,% of students who are domestic students of color ,% of students who are international students,Average scholarship need and no need
"2,006.00","15,253.00","274,836.00",,,,,"16,276.00",0.49,,0.1,0.18,0.03,
"2,007.00","16,907.00","264,550.00",,,,,"16,869.00",0.49,,0.1,0.18,0.04,
"2,008.00","18,165.00","206,920.00",,,,,"15,350.00",0.5,0.07,0.1,0.19,0.03,
"2,009.00","20,474.00","223,836.00",,,,,"17,956.00",0.5,0.1,0.11,0.19,0.03,
"2,010.00","23,249.00","271,151.00","24,375.00","7,750.00","31,330.00","8,934.00","14,285.00",0.47,0.1,0.14,0.2,0.03,"16,062.50"
"2,011.00","23,217.00","254,260.00","23,757.00","8,278.00","30,883.00","9,362.00","17,711.00",0.45,0.11,0.13,0.2,0.02,"16,017.50"
"2,012.00","22,085.00","292,502.00","23,727.00","8,410.00","31,127.00","9,614.00","16,830.00",0.49,0.08,0.11,0.2,0.03,"16,068.50"
"2,013.00","23,328.00","341,355.00","25,115.00","8,367.00","32,621.00","9,490.00","16,797.00",0.49,0.1,0.12,0.2,0.04,"16,741.00"
"2,014.00","22,876.00","348,531.00","24,897.00","9,037.00","33,274.00","10,289.00","19,147.00",0.49,0.1,0.1,0.2,0.04,"16,967.00"
"2,015.00","24,283.00","331,027.00","26,812.00","10,594.00","34,820.00","11,425.00","21,192.00",0.47,0.1,0.12,0.21,0.05,"18,703.00"
"2,016.00","25,528.00","353,757.00","29,148.00","12,430.00","36,382.00","13,960.00","18,444.00",0.4,0.11,0.11,0.21,0.06,"20,789.00"
"2,017.00","28,395.00","381,328.00","31,872.00","13,280.00","37,889.00","15,450.00","23,267.00",0.46,0.11,0.11,0.22,0.07,"22,576.00"
"2,018.00","31,780.00","390,235.00","33,462.00","14,962.00","41,328.00","14,044.00","17,921.00",0.41,0.11,0.12,0.23,0.08,"24,212.00"
"2,019.00","34,674.00","379,038.00","38,823.00","12,944.00","45,185.00","14,963.00","17,532.00",0.38,0.11,0.12,0.24,0.09,"25,883.50"
"2,020.00","31,385.00","638,630.00","36,123.00","12,483.00","47,066.00","15,906.00","21,561.00",0.38,0.14,0.14,0.26,0.1,"24,303.00"
"2,021.00","42,482.00","444,800.00","39,749.00","14,951.00","53,070.00","19,225.00","19,164.00",0.45,0.14,0.14,0.25,0.1,"27,350.00"
"2,022.00",,,"42,821.00","16,423.00","55,620.00","19,717.00","19,416.00",0.38,0.16,0.15,0.25,0.12,"29,622.00"
"2,023.00",,,,,,,,,0.18,0.17,0.26,0.14,
